Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
4,05/25/17 04:03:59 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$8.05
5,05/25/17 04:26:07 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$5.00
6,05/30/17 08:24:16 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$5.00
7,05/30/17 08:45:04 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$1.95
9,05/30/17 04:41:08 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$31.95
10,05/30/17 05:02:30 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$28.90
11,05/31/17 07:47:34 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$28.90
12,05/31/17 08:08:48 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$25.85
13,05/31/17 05:41:05 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$25.85
14,05/31/17 06:06:18 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$22.80
