Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
11,04/28/16 03:26:29 PM,Exit,Metrorail,L'Enfant Plza N,Capitol S,StoredValue FF,,($2.15),$15.60
12,04/28/16 03:49:14 PM,Entry,Metrorail,Capitol S,,StoredValue FF,,$0.00,$15.60
13,04/28/16 03:57:47 PM,Exit,Metrorail,Capitol S,L'Enfant Plza N,StoredValue FF,,($2.15),$13.45
0,04/28/16 06:33:22 PM,Entry,Metrorail,Capitol S,,StoredValue FF,,$0.00,$11.30
1,04/28/16 06:57:36 PM,Exit,Metrorail,Capitol S,Tenleytown-AU,StoredValue FF,,($3.25),$8.05
14,04/28/16 06:12:31 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$13.45
15,04/28/16 06:19:34 PM,Exit,Metrorail,L'Enfant Plza N,Capitol S,StoredValue FF,,($2.15),$11.30
2,04/29/16 08:04:53 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$8.05
3,04/29/16 08:28:45 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$5.00
4,04/29/16 05:07:55 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$5.00
5,04/29/16 05:37:25 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$1.95
