Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
2,02/23/16 07:44:45 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$22.25
3,02/23/16 08:10:45 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$19.20
4,02/23/16 04:09:39 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$19.20
5,02/23/16 04:32:26 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$16.35
6,02/24/16 08:40:18 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$16.35
7,02/24/16 09:06:43 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$13.30
8,02/24/16 06:22:51 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$13.30
9,02/24/16 06:50:10 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$10.45
10,02/25/16 08:27:26 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$10.45
11,02/25/16 08:50:56 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$7.40
12,02/25/16 06:00:24 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$7.40
13,02/25/16 06:25:43 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$4.35
0,02/26/16 07:52:24 AM,Exit,Metrorail,,L'Enfant Plza N,StoredValue FF,,($3.05),$26.30
14,02/26/16 07:31:09 AM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$25.00,$29.35
15,02/26/16 07:33:12 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$29.35
1,02/26/16 04:28:54 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$26.30
2,02/26/16 04:34:58 PM,Exit,Metrorail,L'Enfant Plza N,Gal Pl-Chntwn N,StoredValue FF,,($2.15),$24.15
3,02/26/16 05:44:26 PM,Entry,Metrorail,Gal Pl-Chntwn N,,StoredValue FF,,$0.00,$24.15
4,02/26/16 06:01:34 PM,Exit,Metrorail,Gal Pl-Chntwn N,Tenleytown-AU,StoredValue FF,,($2.80),$21.35
5,02/29/16 04:27:29 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$21.35
6,02/29/16 04:50:56 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$18.30
