Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
12,03/23/16 05:17:11 PM,Exit,Metrorail,Crystal City,Tenleytown-AU,StoredValue FF,,($3.75),$23.05
13,03/24/16 08:26:09 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$23.05
14,03/24/16 09:00:54 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$20.00
0,03/24/16 10:48:43 AM,Exit,Metrorail,,Capitol S,StoredValue FF,,($1.75),$18.25
1,03/24/16 12:20:54 PM,Entry,Metrorail,Capitol S,,StoredValue FF,,$0.00,$18.25
2,03/24/16 12:27:30 PM,Exit,Metrorail,Capitol S,L'Enfant Plza N,StoredValue FF,,($1.75),$16.50
15,03/24/16 10:41:20 AM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$20.00
3,03/24/16 06:27:59 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$16.50
4,03/24/16 06:47:03 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$13.45
5,03/25/16 08:17:21 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$13.45
6,03/25/16 08:39:59 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$10.40
7,03/25/16 04:33:47 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$10.40
8,03/25/16 04:41:28 PM,Exit,Metrorail,L'Enfant Plza N,Gal Pl-Chntwn N,StoredValue FF,,($2.15),$8.25
9,03/25/16 06:07:00 PM,Entry,Metrorail,Gal Plc-Chntn W,,StoredValue FF,,$0.00,$8.25
10,03/25/16 06:26:14 PM,Exit,Metrorail,Gal Plc-Chntn W,Tenleytown-AU,StoredValue FF,,($2.80),$5.45
10,03/28/16 08:14:57 AM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$5.45
11,03/28/16 08:15:20 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$5.45
12,03/28/16 08:36:28 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$2.40
13,03/28/16 08:37:12 AM,Sale,Metrorail,L'Enfant Plza N,,StoredValue FF,,$25.00,$27.40
14,03/28/16 06:56:23 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$27.40
15,03/28/16 07:17:27 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$24.35
0,03/29/16 07:57:34 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$24.35
1,03/29/16 08:17:53 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$21.30
2,03/29/16 03:44:38 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$21.30
3,03/29/16 04:08:06 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$18.45
4,03/30/16 08:56:46 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$18.45
5,03/30/16 09:19:03 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$15.40
6,03/30/16 06:27:54 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$15.40
7,03/30/16 06:48:50 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$12.55
