Seq. #,Time,Description,Operator,Entry Location/ Bus Route,Exit Location,Product,Rem. Rides,Change (+/-),Balance
10,01/15/16 05:54:12 PM,Entry,Metrorail,Gal Pl-Chntwn N,,StoredValue FF,,$0.00,$15.75
11,01/15/16 06:14:33 PM,Exit,Metrorail,Gal Pl-Chntwn N,Tenleytown-AU,StoredValue FF,,($2.80),$12.95
11,01/19/16 08:03:12 AM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$12.95
12,01/19/16 08:03:31 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$12.95
13,01/19/16 08:38:30 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$9.90
14,01/19/16 03:41:50 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$9.90
15,01/19/16 04:12:47 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$7.05
0,01/19/16 07:02:41 PM,Entry,Metrorail,Va Sq-GMU,,StoredValue FF,,$0.00,$7.05
1,01/19/16 07:36:38 PM,Exit,Metrorail,Va Sq-GMU,Tenleytown-AU,StoredValue FF,,($2.75),$4.30
2,01/20/16 08:10:29 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$4.30
3,01/20/16 08:48:43 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$1.25
4,01/20/16 08:49:25 AM,Sale,Metrorail,L'Enfant Plza N,,StoredValue FF,,$25.00,$26.25
5,01/20/16 06:14:36 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$26.25
6,01/20/16 06:38:24 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$23.40
7,01/20/16 09:55:56 PM,Entry,Metrorail,Va Sq-GMU,,StoredValue FF,,$0.00,$23.40
8,01/20/16 10:43:34 PM,Exit,Metrorail,Va Sq-GMU,Tenleytown-AU,StoredValue FF,,($2.75),$20.65
9,01/21/16 08:21:58 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$20.65
10,01/21/16 08:46:22 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$17.60
11,01/21/16 06:29:09 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$17.60
12,01/21/16 06:55:55 PM,Exit,Metrorail,L'Enfant Plza N,Tenleytown-AU,StoredValue FF,,($3.05),$14.55
13,01/26/16 08:48:55 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$14.55
14,01/26/16 09:21:21 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$11.50
0,01/26/16 04:40:46 PM,Exit,Metrorail,,Tenleytown-AU,StoredValue FF,,($3.05),$8.45
15,01/26/16 04:18:27 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$11.50
1,01/27/16 08:05:30 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$8.45
2,01/27/16 08:38:10 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$5.40
3,01/27/16 06:20:46 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$5.40
4,01/27/16 06:42:11 PM,Exit,Metrorail,L'Enfant Plza N,Va Sq-GMU,StoredValue FF,,($2.85),$2.55
5,01/27/16 09:26:14 PM,Entry,Metrorail,Va Sq-GMU,,StoredValue FF,,$0.00,$2.55
6,01/27/16 09:57:31 PM,Exit,Metrorail,Va Sq-GMU,Tenleytown-AU,StoredValue FF,,($2.75),($0.20)
7,01/27/16 09:58:41 PM,Sale,Metrorail,Tenleytown-AU,,StoredValue FF,,$25.00,$24.80
8,01/28/16 07:53:34 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$24.80
9,01/28/16 08:27:33 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$21.75
10,01/28/16 06:27:44 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$21.75
11,01/28/16 06:42:24 PM,Exit,Metrorail,L'Enfant Plza N,Dupont Circle S,StoredValue FF,,($2.15),$19.60
12,01/28/16 08:44:18 PM,Entry,Metrorail,Dupont Circle S,,StoredValue FF,,$0.00,$19.60
13,01/28/16 09:06:01 PM,Exit,Metrorail,Dupont Circle S,Tenleytown-AU,StoredValue FF,,($1.85),$17.75
14,01/29/16 07:55:42 AM,Entry,Metrorail,Tenleytown-AU,,StoredValue FF,,$0.00,$17.75
15,01/29/16 08:22:25 AM,Exit,Metrorail,Tenleytown-AU,L'Enfant Plza N,StoredValue FF,,($3.05),$14.70
0,01/29/16 01:39:31 PM,Entry,Metrorail,L'Enfant Plza N,,StoredValue FF,,$0.00,$14.70
1,01/29/16 01:57:19 PM,Exit,Metrorail,L'Enfant Plza N,Union Stn N,StoredValue FF,,($1.75),$12.95
